TIME,ARB
0.003336538,0.2149
0.003338462,-0.3973
0.003340385,0.4404
0.003342308,-0.4008
0.003344231,0.4082
0.003346154,-0.4295
0.003348077,0.4082
0.00335,-0.4295
0.003351923,0.414
0.003353846,-0.4018
0.003355769,0.3867
0.003357692,-0.4295
0.003359615,0.4032
0.003361538,-0.3865
0.003363462,0.3867
0.003365385,-0.3968
0.003367308,0.352
0.003369231,-0.4078
0.003371154,0.3652
0.003373077,-0.3597
0.003375,0.3545
0.003376923,-0.3328
0.003378846,0.3385
0.003380769,-0.3534
0.003382692,0.3224
0.003384615,-0.3643
0.003386538,0.3424
0.003388462,-0.3221
0.003390385,0.3223
0.003392308,-0.2899
0.003394231,0.2578
0.003396154,-0.2899
0.003398077,0.2041
0.0034,-0.2202
0.003401923,0.2239
0.003403846,-0.1717
0.003405769,0.2285
0.003407692,-0.1645
0.003409615,0.2578
0.003411538,-0.5
0.003413462,0.1827
0.003415385,0.2793
0.003417308,-0.3436
0.003419231,0.3652
0.003421154,-0.4295
0.003423077,0.4082
0.003425,-0.3758
0.003426923,0.3437
0.003428846,-0.4197
0.003430769,0.4189
0.003432692,-0.3752
0.003434615,0
0.003436538,0.2149
0.003438462,-0.3973
0.003440385,0.4404
0.003442308,-0.4008
0.003444231,0.4082
0.003446154,-0.4295
0.003448077,0.4082
0.00345,-0.4295
0.003451923,0.414
0.003453846,-0.4018
0.003455769,0.3867
0.003457692,-0.4295
0.003459615,0.4032
0.003461538,-0.3865
0.003463462,0.3867
0.003465385,-0.3968
0.003467308,0.352
0.003469231,-0.4078
0.003471154,0.3652
0.003473077,-0.3597
0.003475,0.3545
0.003476923,-0.3328
0.003478846,0.3385
0.003480769,-0.3534
0.003482692,0.3224
0.003484615,-0.3643
0.003486538,0.3424
0.003488462,-0.3221
0.003490385,0.3223
0.003492308,-0.2899
0.003494231,0.2578
0.003496154,-0.2899
0.003498077,0.2041
0.0035,-0.2202
0.003501923,0.2239
0.003503846,-0.1717
0.003505769,0.2285
0.003507692,-0.1645
0.003509615,0.2578
0.003511538,-0.5
0.003513462,0.1827
0.003515385,0.2793
0.003517308,-0.3436
0.003519231,0.3652
0.003521154,-0.4295
0.003523077,0.4082
0.003525,-0.3758
0.003526923,0.3437
0.003528846,-0.4197
0.003530769,0.4189
0.003532692,-0.3752
0.003534615,0
0.003536538,0.2149
0.003538462,-0.3973
0.003540385,0.4404
0.003542308,-0.4008
0.003544231,0.4082
0.003546154,-0.4295
0.003548077,0.4082
0.00355,-0.4295
0.003551923,0.414
0.003553846,-0.4018
0.003555769,0.3867
0.003557692,-0.4295
0.003559615,0.4032
0.003561538,-0.3865
0.003563462,0.3867
0.003565385,-0.3968
0.003567308,0.352
0.003569231,-0.4078
0.003571154,0.3652
0.003573077,-0.3597
0.003575,0.3545
0.003576923,-0.3328
0.003578846,0.3385
0.003580769,-0.3534
0.003582692,0.3224
0.003584615,-0.3643
0.003586538,0.3424
0.003588462,-0.3221
0.003590385,0.3223
0.003592308,-0.2899
0.003594231,0.2578
0.003596154,-0.2899
0.003598077,0.2041
0.0036,-0.2202
0.003601923,0.2239
0.003603846,-0.1717
0.003605769,0.2285
0.003607692,-0.1645
0.003609615,0.2578
0.003611538,-0.5
0.003613462,0.1827
0.003615385,0.2793
0.003617308,-0.3436
0.003619231,0.3652
0.003621154,-0.4295
0.003623077,0.4082
0.003625,-0.3758
0.003626923,0.3437
0.003628846,-0.4197
0.003630769,0.4189
0.003632692,-0.3752
0.003634615,0
0.003636538,0.2149
0.003638462,-0.3973
0.003640385,0.4404
0.003642308,-0.4008
0.003644231,0.4082
0.003646154,-0.4295
0.003648077,0.4082
0.00365,-0.4295
0.003651923,0.414
0.003653846,-0.4018
0.003655769,0.3867
